"service_id","date","exception_type"
"B392E0D6","20220729","1"
"B392E0D6","20220801","1"
"B392E0D6","20220802","1"
"B392E0D6","20220803","1"
"B392E0D6","20220804","1"
"B392E0D6","20220805","1"
"B392E0D6","20220808","1"
"B392E0D6","20220809","1"
"B392E0D6","20220810","1"
"B392E0D6","20220811","1"
"B392E0D6","20220812","1"
"B392E0D6","20220815","1"
"B392E0D6","20220816","1"
"B392E0D6","20220817","1"
"B392E0D6","20220818","1"
"B392E0D6","20220819","1"
"B392E0D6","20220822","1"
"B392E0D6","20220823","1"
"B392E0D6","20220824","1"
"B392E0D6","20220825","1"
"B392E0D6","20220826","1"
"B392E0D6","20220829","1"
"B392E0D6","20220830","1"
"B392E0D6","20220831","1"
"B392E0D6","20220901","1"
"FFDEED80","20220717","1"
"FFDEED80","20220724","1"
"FFDEED80","20220814","1"
"FFDEED80","20220821","1"
"FFDEED80","20220828","1"
"FFDEED80","20220905","1"
"B8D48958","20220716","1"
"B8D48958","20220717","1"
"B8D48958","20220723","1"
"B8D48958","20220724","1"
"B8D48958","20220813","1"
"B8D48958","20220814","1"
"B8D48958","20220820","1"
"B8D48958","20220821","1"
"B8D48958","20220827","1"
"B8D48958","20220828","1"
"B8D48958","20220903","1"
"B8D48958","20220904","1"
"C2228F20","20220716","1"
"C2228F20","20220723","1"
"C2228F20","20220813","1"
"C2228F20","20220820","1"
"C2228F20","20220827","1"
"C2228F20","20220903","1"
"08F1104E","20220717","1"
"08F1104E","20220724","1"
"08F1104E","20220814","1"
"08F1104E","20220821","1"
"08F1104E","20220828","1"
"08F1104E","20220904","1"
"08F1104E","20220905","1"
"48C32C84","20220717","1"
"48C32C84","20220724","1"
"48C32C84","20220814","1"
"48C32C84","20220821","1"
"48C32C84","20220828","1"
"48C32C84","20220904","1"
"2C398CD1","20220713","1"
"2C398CD1","20220714","1"
"2C398CD1","20220715","1"
"2C398CD1","20220718","1"
"2C398CD1","20220720","1"
"2C398CD1","20220721","1"
"2C398CD1","20220722","1"
"2C398CD1","20220725","1"
"2C398CD1","20220727","1"
"2C398CD1","20220728","1"
"2C398CD1","20220729","1"
"2C398CD1","20220801","1"
"2C398CD1","20220803","1"
"2C398CD1","20220804","1"
"2C398CD1","20220805","1"
"2C398CD1","20220808","1"
"2C398CD1","20220810","1"
"2C398CD1","20220811","1"
"2C398CD1","20220812","1"
"2C398CD1","20220815","1"
"2C398CD1","20220817","1"
"2C398CD1","20220818","1"
"2C398CD1","20220819","1"
